	variable	value	class
159	XG1	22.723190962852602	Severe covid
160	XG1	23.724842617212218	Severe covid
161	XG1	21.9597658613863	Severe covid
162	XG1	18.14104018322994	Severe covid
163	XG1	14.07045641594465	Severe covid
164	XG1	22.50354323049154	Severe covid
165	XG1	16.311124242462867	Severe covid
166	XG1	21.790266455490144	Severe covid
167	XG1	21.182403598404427	Severe covid
168	XG1	15.794731461985258	Severe covid
169	XG1	20.73070510445368	Severe covid
170	XG1	24.323908388052114	Severe covid
171	XG1	21.986723694930134	Severe covid
172	XG1	19.590768173974134	Severe covid
173	XG1	20.891682482627505	Severe covid
174	XG1	19.525843601918364	Severe covid
175	XG1	23.07658060120201	Severe covid
176	XG1	17.65211245271808	Severe covid
177	XG1	20.515367788977102	Severe covid
178	XG1	16.052635045163722	Severe covid
179	XG1	19.253499838137135	Severe covid
180	XG1	18.963741369080154	Severe covid
181	XG1	22.04333823905411	Severe covid
182	XG1	20.18667178900601	Severe covid
183	XG1	20.005821032349523	Severe covid
184	XG1	19.962872623778985	Severe covid
185	XG1	21.04967791180233	Severe covid
186	XG1	16.269649491943674	Severe covid
187	XG1	16.50419367859861	Severe covid
188	XG1	24.746833088497755	Severe covid
189	XG1	19.783509757428973	Severe covid
190	XG1	16.6213525728536	Severe covid
191	XG1	25.49080155524087	Severe covid
192	XG1	18.74214729880181	Severe covid
193	XG1	18.37693905674261	Severe covid
194	XG1	14.448689151752866	Severe covid
195	XG1	19.360948193356716	Severe covid
196	XG1	22.797676069715546	Severe covid
197	XG1	17.65352693814258	Severe covid
198	XG1	15.939817266442706	Severe covid
199	XG1	17.31328606956021	Severe covid
200	XG1	18.750421379317267	Severe covid
201	XG1	18.748947468854805	Severe covid
202	XG1	19.79124398444239	Severe covid
203	XG1	16.221316144942026	Severe covid
204	XG1	20.01138612131581	Severe covid
205	XG1	20.38899082011079	Severe covid
206	XG1	19.931233554674755	Severe covid
207	XG1	16.44245151786957	Severe covid
208	XG1	20.770691816249823	Severe covid
209	XG1	20.279382597337968	Severe covid
210	XG1	17.11206926162782	Severe covid
211	XG1	14.987697630447443	Severe covid
212	XG1	20.00119031669538	Severe covid
213	XG1	17.992140088727794	Severe covid
214	XG1	20.674815848126013	Severe covid
215	XG1	14.36117475953181	Severe covid
216	XG1	18.909067765805982	Severe covid
217	XG1	22.662459114005095	Severe covid
218	XG1	17.69247811835924	Severe covid
219	XG1	18.27703988796581	Severe covid
220	XG1	17.28555941171232	Severe covid
221	XG1	14.853063169817744	Severe covid
222	XG1	15.836936126121238	Severe covid
223	XG1	20.067524957026002	Severe covid
224	XG1	17.761796406400396	Severe covid
225	XG1	22.978496545237963	Severe covid
226	XG1	22.389526049985793	Severe covid
227	XG1	15.358983264782434	Severe covid
228	XG1	15.985780107161302	Severe covid
229	XG1	20.519159428773964	Severe covid
230	XG1	18.38575907388287	Severe covid
231	XG1	17.79771554548936	Severe covid
232	XG1	20.46073846994068	Severe covid
233	XG1	18.20430964162626	Severe covid
234	XG1	18.483650971961595	Severe covid
235	XG1	19.939038228511034	Severe covid
236	XG1	15.684528197623797	Severe covid
237	XG1	22.121485299638838	Severe covid
238	XG1	19.969668006748662	Severe covid
239	XG1	17.816484785967766	Severe covid
240	XG1	16.265080750826023	Severe covid
241	XG1	19.570566825652506	Severe covid
242	XG1	18.218865023422534	Severe covid
243	XG1	19.773872946924513	Severe covid
244	XG1	18.698745567845496	Severe covid
245	XG1	27.106538819929952	Severe covid
246	XG1	14.919151025670475	Severe covid
247	XG1	16.734279098265084	Severe covid
248	XG1	16.129317294633793	Severe covid
249	XG1	19.37757157739475	Severe covid
250	XG1	18.343873452445404	Severe covid
251	XG1	15.783115343817595	Severe covid
252	XG1	20.365293470513507	Severe covid
253	XG1	17.38370574269365	Severe covid
254	XG1	19.94738206832624	Severe covid
255	XG1	19.06247341770403	Severe covid
256	XG1	19.84354808630872	Severe covid
257	XG1	18.207355176876575	Severe covid
258	XG1	16.22286637750682	Severe covid
259	XG1	18.737917376095183	Severe covid
260	XG1	17.318773238037004	Severe covid
261	XG1	17.587217494005795	Severe covid
262	XG1	18.315313222139242	Severe covid
263	XG1	20.97114707604003	Severe covid
264	XG1	21.06968773017517	Severe covid
265	XG1	19.289311560048528	Severe covid
266	XG1	14.8607079354754	Severe covid
267	XG1	17.722818160602266	Severe covid
268	XG1	19.51048023917756	Severe covid
269	XG1	0.587	Severe covid
270	XG1	2.108	Severe covid
271	XG1	0.0	Severe covid
272	XG1	1.077	Severe covid
273	XG1	1.163	Severe covid
274	XG1	0.0	Severe covid
275	XG1	0.729	Severe covid
276	XG1	0.947	Severe covid
277	XG1	0.834	Severe covid
278	XG1	0.831	Severe covid
279	XG1	0.978	Severe covid
280	XG1	0.627	Severe covid
281	XG1	0.799	Severe covid
282	XG1	0.65	Severe covid
283	XG1	1.135	Severe covid
284	XG1	0.0	Severe covid
285	XG1	1.03	Severe covid
286	XG1	1.241	Severe covid
287	XG1	1.069	Severe covid
288	XG1	1.224	Severe covid
289	XG1	1.092	Severe covid
290	XG1	0.0	Severe covid
291	XG1	2.123	Severe covid
292	XG1	1.09	Severe covid
293	XG1	0.356	Severe covid
294	XG1	1.119	Severe covid
295	XG1	0.828	Severe covid
296	XG1	1.209	Severe covid
297	XG1	0.675	Severe covid
298	XG1	1.009	Severe covid
299	XG1	1.175	Severe covid
300	XG1	0.702	Severe covid
301	XG1	1.099	Severe covid
302	XG1	1.326	Severe covid
303	XG1	0.774	Severe covid
304	XG1	0.821	Severe covid
305	XG1	0.622	Severe covid
306	XG1	0.636	Severe covid
307	XG1	0.0	Severe covid
308	XG1	0.825	Severe covid
309	XG1	0.687	Severe covid
310	XG1	0.853	Severe covid
311	XG1	0.835	Severe covid
312	XG1	1.069	Severe covid
313	XG1	1.111	Severe covid
314	XG1	1.056	Severe covid
315	XG1	0.0	Severe covid
316	XG1	1.375	Severe covid
317	XG1	0.992	Severe covid
318	XG1	1.047	Severe covid
319	XG1	1.196	Severe covid
320	XG1	0.974	Severe covid
321	XG1	0.678	Severe covid
322	XG1	0.802	Severe covid
323	XG1	1.001	Severe covid
324	XG1	0.0	Severe covid
325	XG1	0.792	Severe covid
326	XG1	1.223	Severe covid
327	XG1	0.0	Severe covid
328	XG1	14.360642301576101	Severe covid
329	XG1	13.598714184749307	Severe covid
330	XG1	15.534994332378046	Severe covid
331	XG1	17.121448937430593	Severe covid
332	XG1	18.421316103662274	Severe covid
333	XG1	15.657297512485078	Severe covid
334	XG1	15.095345830277255	Severe covid
335	XG1	14.22524275060044	Severe covid
336	XG1	14.357371319666708	Severe covid
337	XG1	21.228555675238912	Severe covid
338	XG1	18.593831046329782	Severe covid
339	XG1	16.52397166504318	Severe covid
340	XG1	20.436217179804103	Severe covid
341	XG1	17.096208447547415	Severe covid
342	XG1	19.207196378661457	Severe covid
343	XG1	24.205330755427596	Severe covid
344	XG1	25.428026700493717	Severe covid
345	XG1	18.528774102268383	Severe covid
346	XG1	22.13601419853554	Severe covid
347	XG1	21.799432424087787	Severe covid
