	XG1	XG10	XG11	XG13	XG14	XG15	XG16	XG17	XG18	XG19	XG2	XG26	XG27	XG29	XG3	XG31	XG33	XG34	XG35	XG36	XG37	XG38	XG39	XG4	XG40	XG42	XG5	XG6	XG7	XG8	XG9	pvalue	fc	ids	meta
792	23.550653796182683	22.609158105361335	23.392831117198366	22.896626014285385	23.770793424394885	22.814242917493154	22.95909209599102	23.757026551827046	23.2216068855946	23.068489815347537	23.06233704447341	23.85694540658638	23.131874854051066	23.260615650506463	22.821500936621145	22.978184737987988	23.07045821758275	23.093748468597543	23.20999854986853	22.752817946209444	22.872322898644136	22.50461571325565	23.213845116662004	22.88243297037648	23.75864390635728	23.15090408417515	23.183136038452464	23.264364851906205	23.46004087141127	22.609193056892803	22.756235521918256	0.7793054481711127	-0.027148092753218833	(14 or 15)-methylpalmitate (a17:0 or i17:0)	0
793	20.53229456484759	19.004069041295704	20.067748797326267	19.387651876049386	20.58073356132136	19.552824797761534	19.96636453923446	20.231661682069586	20.13261598123306	19.777223805666274	19.966224669137734	20.452895000518925	19.79522033489535	20.01629346438302	19.664175769285457	19.970721442761985	19.86295530458776	19.741368435368937	20.009971753212515	19.25929947234497	18.831192893427552	19.497785580957007	19.908025234806264	19.87305842085601	20.885735653205796	19.976881261776843	20.035577230367295	20.233329153385203	20.068817959634043	19.29561621340536	19.528050920575936	0.6596818778184512	0.02104393933519333	(16 or 17)-methylstearate (a19:0 or i19:0)	0
794	20.15240833084135	18.184124258416656	19.661014316440312	16.679248561086105	17.149045608571726	20.083628323504286	20.11769081363395	19.250030034491758	19.159734167478888	17.577620715312467	18.417402900286266	19.82429851589574	18.23460652210275	20.869506962085804	19.729757020301484	20.549476941532742	17.773153395942078	16.679248561086105	20.628448321407944	20.26784752910792	17.059810656467864	17.422909642483898	19.34801651500584	19.325506807923322	16.679248561086105	21.18994653418563	19.9347530475348	19.835533299876722	18.23703077533797	20.081952447347394	19.46233351642223	0.8412921415169001	0.09413358304048103	(2 or 3)-decenoate (10:1n7 or n8)	0
795	14.813671707548577	14.813671707548577	16.75715731331212	17.156845196364877	14.813671707548577	16.62952960759443	16.247329396979293	20.5755062402138	15.884665127477998	16.657166648749232	14.813671707548577	14.813671707548577	14.813671707548577	16.81248443727779	14.813671707548577	14.813671707548577	16.40481933766248	14.813671707548577	14.813671707548577	19.890189117376355	14.813671707548577	14.813671707548577	14.813671707548577	15.863126448118122	14.813671707548577	14.813671707548577	17.527209952794216	17.528930018758246	16.7679673005763	14.813671707548577	14.813671707548577	0.0725496478728697	0.7025170009772665	(R)-3-hydroxybutyrylcarnitine	0
796	16.781458471483102	16.781458471483102	19.040960723905346	19.200636435823185	18.47853511587318	18.696687101953383	18.18479091645963	16.781458471483102	19.863282068251742	18.83597241373067	19.932720101626213	20.432929494724213	18.36349394184243	21.125201397363014	19.10431432589483	20.14475158445949	17.821730391596546	20.193994059422945	19.979617080794853	18.918257731440068	18.895628992839146	19.135258216853973	16.781458471483102	16.781458471483102	18.765324244637174	18.6231816785	17.815666588669842	16.781458471483102	16.781458471483102	16.781458471483102	16.781458471483102	0.015035788568398005	-1.2007985248484552	(S)-a-amino-omega-caprolactam	0
812	23.943715098916854	24.562258730632113	23.915157529164798	24.728591926224	26.168425910011482	26.047684925516382	25.535221854256203	25.322202415530075	25.002307021518856	23.27219150717241	26.61849797540316	24.547143300080943	24.728024704732494	25.089104523253614	25.020055869419416	24.56561102271526	24.761592520370627	24.263513785147623	23.915957678311074	24.870555963374454	25.057976358463662	25.142772538140164	24.644727012151442	24.947003069387716	25.596923817072017	24.5524991915512	23.648571312430605	24.63830885270548	25.523048369321245	24.53498958453883	25.450752271713622	0.5218393903336159	0.18876731381905998	1,2-dilinoleoyl-GPC (18:2/18:2)	0
813	24.778887149580022	25.47551142099834	25.197002764818464	25.096426272617148	25.269930796406808	25.143254122994023	25.312366992957877	25.443778512606695	25.063559990045317	24.91162303401578	25.001648543364176	25.53775836296408	25.188620385241776	25.794448291687672	25.838718345859316	25.514838999119814	25.254471596569154	25.044822990761062	25.209514199722946	25.29527414374514	25.49365563211425	25.194956392151173	25.603959965130635	24.555890005095627	25.21551848427904	25.207217383931287	25.057930595022576	25.892615537874136	24.4318638058537	25.19439241648586	25.512815437286424	0.09269580255781253	-0.17382144539766742	1,2-dipalmitoyl-GPC (16:0/16:0)	0
814	27.86870162695777	27.58514364440746	27.185579763143135	27.403970816329736	27.979674379823308	27.308679543811564	28.355863875929675	26.99242711113547	27.989275124565104	25.028554287423624	29.01534035248862	27.150806337486365	27.681852200182835	27.8274011479988	25.25384070595344	24.396257875476888	27.06625297025034	26.722746464434888	27.177084463807425	21.76620061066758	27.308875455506847	27.24602423905088	27.787781627951723	27.85137971538137	27.544999442230342	26.817782341230348	27.710445236413992	26.95800419150784	26.81429387441084	27.651612769150955	27.777385861658562	0.09269580255781253	0.7205088644164448	1,5-anhydroglucitol (1,5-AG)	0
797	21.155779134500634	19.44335170513708	19.780116600328302	19.21696472145606	20.772417074693532	20.980840622439597	19.19794600113367	17.991486122035628	19.630230235849886	18.086232782697333	17.08162630243455	17.08162630243455	17.08162630243455	19.16353697334692	19.5376396525472	18.88212199374394	18.678470441524034	18.827862412193756	19.597702055044856	17.08162630243455	19.475555949413305	19.84759303476554	18.825606727248243	17.08162630243455	18.293181423659995	18.553922898268425	17.08162630243455	18.506083324308104	19.564477594662414	17.08162630243455	20.597071744155816	0.2770284774484241	0.4752353082763072	1-(1-enyl-oleoyl)-GPE (P-18:1)*	0
798	25.14545845121837	24.456622127962323	24.665413776628732	24.56137489041708	24.36288744801103	23.930912534955095	23.830635413402938	24.404484406775644	24.73652363425427	23.12314527423172	23.961296980901942	23.92011066079637	23.768909890147135	24.64627435693904	24.334190206902164	24.136738811327227	24.025829472231507	23.925994603033963	23.414165068524387	23.937326760902017	24.224792775318793	23.6820763544277	23.458935472830056	23.601756962441456	23.724199693214917	23.641461966810553	23.444681537068615	25.313860506557855	24.160084531405204	24.516906482581284	25.447780055779926	0.02249960379565139	0.4480833842836667	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*	0
799	24.178649807862286	23.588061850836606	23.15125938639186	22.85566094684866	24.172784568398267	23.609253036257293	22.835375911039467	23.385186363308712	23.028357166319914	22.209594663373856	22.954620102153314	23.153992317412822	22.83546014945418	23.808913127571383	23.547969203034334	21.243135041080343	23.00725008304465	22.807283866904083	22.823481920960866	22.06650312154712	23.679547535263044	23.14203692320359	21.895430134361153	21.773176944133517	22.173430255899923	22.742304192862587	21.243135041080343	23.61559573899764	23.012035395491324	23.887850904055398	24.42765607118267	0.06264856664526601	0.4716797617853281	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	0
800	24.452520023272218	23.95302200106813	23.99344877542684	24.30017671869639	25.093889962184512	24.463223382954926	24.172003041908834	24.306293841350307	24.102702523427215	22.298578636458743	24.014818196001734	24.54519050572438	23.866357355082542	24.265211982443027	24.438101584039195	23.890752533781477	23.90079772542937	22.927074977201766	23.58041154868435	23.281671284381932	24.384096532604524	24.083223173763376	23.976927922161064	23.353380139227834	23.820763183321535	23.571964029723677	23.701436449783042	25.01449336970723	23.303734769297773	23.848093653106687	25.239504134571398	0.11846489387154585	0.260438060063354	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	0
801	20.27835530281661	20.360465885741085	20.205002848218832	20.612262892868284	21.402796487048096	21.737727619989876	20.454153301769615	20.635516204839472	20.45835103793434	19.265881547755228	20.98037111786141	18.16848467350093	18.43673415929163	21.232442446720043	19.798754083825806	18.16848467350093	19.96230367338842	19.56938791351282	20.324946738601042	18.62308006651228	20.32738296525499	20.52956840922494	18.726391868167745	18.16848467350093	19.4627231735549	19.410533904858124	19.645509797388407	20.196907942133674	20.110705680635494	18.16848467350093	21.357019280199207	0.04511048990988643	0.7560401321570787	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*	0
802	22.938627331211	22.78045636550169	23.10089552988584	22.95376493560438	23.232492804126302	22.406107408236878	22.732205007781232	22.832124156229312	22.767515576993908	20.901105439717604	22.58416141247384	22.84124529860209	22.77852094730889	23.099605290448284	23.20913413051187	23.220314849852123	22.35235667127756	22.21710913230831	22.57142422186354	22.37228787153932	23.25884188958871	22.696928166120873	23.103413321519227	22.171688541568138	22.20939773514112	22.222634552588968	22.327695032800403	24.059835241289882	21.668288595896026	22.59612832103364	24.483959044188985	0.688920555804462	0.07567078764444446	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*	0
803	19.00702983409627	19.81066037352768	19.25394974357149	18.794157429199945	20.04894445521048	20.37462668025357	19.692267495696804	19.983072926530696	19.385193605893512	18.488814075474387	18.201240012009595	18.201240012009595	18.201240012009595	20.15007496354197	18.334538040444684	18.201240012009595	18.263925201772214	19.459254496904183	19.369551154873033	18.201240012009595	19.806448829525827	19.440632476312455	18.563911709943095	18.201240012009595	18.702234100821816	18.885335451295518	18.201240012009595	18.84320560590162	18.201240012009595	18.201240012009595	19.900109021824207	0.5704738936509962	0.17077816121897627	1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*	0
804	17.356861761449938	19.663144479033225	19.71514088610129	19.113931615161682	20.227645613056897	17.911519355676255	19.35127841681253	17.688754963293576	19.943345957023535	17.356861761449938	17.356861761449938	17.356861761449938	17.356861761449938	17.356861761449938	17.356861761449938	17.356861761449938	18.736330184908766	18.635793720846692	17.356861761449938	19.13609104257936	19.84209450047105	18.87733300539206	19.725572519934108	17.356861761449938	18.288183432738773	17.551962373371694	17.356861761449938	19.71514088610129	17.356861761449938	17.356861761449938	19.666158217357278	0.8029356087219351	0.16095878496137672	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*	0
805	22.885912399371207	22.862134476150445	23.01871228508441	22.82510300002388	22.703328989144	22.118206037048974	22.30019431779151	22.94127162338095	22.335406711588924	20.72371062101293	22.366819506524	22.44137333758745	22.636865092743584	22.543773488043392	22.983660968581685	22.79505204327932	22.26970612813438	22.184867172822724	22.20094394111544	22.669668721512338	22.996187873969273	22.20918962239612	23.183198446848433	22.12392925051919	21.9815868786061	21.932239446846207	22.185808395104246	23.80896024826432	21.71534714868378	22.644615575337404	23.80309398176122	0.4233396415824455	0.10981650628018613	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*	0
806	23.916813499759183	22.858844113517062	22.576097013753497	22.49647798599069	23.01611574988628	22.547023829185793	22.118586433082108	21.423789025215797	22.578394690574882	20.43384302553249	22.56711634909257	22.03350181207562	21.955722353877324	21.89047795027506	22.487783495933826	22.609912870119157	22.009190824125092	22.140351276826408	22.4674642569875	21.211871217988815	22.88908753304674	22.557339472507312	22.594118177938267	22.081680583565728	21.606416847900483	21.45506980545996	21.704413653917086	22.303029297457634	21.89251613584028	22.596497119946648	23.783231171356974	0.2001848041775763	0.3008540686863732	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	0
807	21.934435599758608	20.64640489389005	20.20384264005543	19.56687476182113	20.890087877641022	20.971493123096828	19.808845585227484	19.076447186108442	20.062885588366505	19.31776617108189	19.897344544038894	19.11280234050588	19.178350583850843	20.649618550636674	21.13489863823274	20.731762035633075	19.884337860715654	20.015059895573906	20.385412709815864	18.330479270797188	20.673249759811437	20.332859891726937	19.96563326223172	18.580132029450375	19.558549520242966	19.86646093411208	20.01544908294851	19.62275541832425	19.927830396414898	20.17916999683942	21.453929577939753	0.4468908035108523	0.28399714258245723	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	0
